Job Number,Angle,Bit Value,Basis,Total Shots
3f7f7f66-9e8f-4613-a3aa-dcbe37414575,0.556651916640652,1,X,100
8719a544-e4ad-4ded-99f5-c0b2135b7806,0.5948751759529942,1,X,100
25d6ef49-c831-4ca3-b27a-c6dcfef41515,0.6032530808970905,1,X,100
7c08574d-978e-42cb-bc82-ef12fd73065c,0.6038383692631121,1,X,100
85f4978a-a271-4669-8019-bbd2c799273c,0.6118732845891974,1,X,100
029ff58a-379b-4575-9891-1327908362ff,0.6167330287515285,1,X,100
f50aa49c-deb7-4f23-a775-92c2571123d0,0.6205826157758052,1,X,100
17bd14ba-1555-438c-ae9e-b5570f75c8ab,0.6386519933251579,1,X,100
46982d5b-9007-4e35-b04a-6f850d31ccb6,0.6482822537282606,1,X,100
581635db-3764-4760-a6e2-aded598f0495,0.6673263234714741,1,X,100
e8146476-7f8f-4fb3-946e-97f487bc8457,0.6674105945937686,1,X,100
2725838c-c494-4379-bf88-0a7d68f416ad,0.6830936991317018,1,X,100
f1983d3b-2058-41a7-9cb6-9f2be90af532,0.6924537899969608,1,X,100
b3fcda6d-7e36-4618-8b94-9336e349a99f,0.6954048385212936,1,X,100
4d074269-37ee-4ad0-944e-d42a0d7571e6,0.7014083129610772,1,X,100
81938e50-fee5-47e3-98c2-523b643912a8,0.7043506545921238,1,X,100
2c8f55b7-8c57-4e0e-8f2f-35fc02677f09,0.7276009395003792,1,X,100
de37f6d8-6485-4df3-8d4d-3bb32671f340,0.7293133910560334,1,X,100
b5cfb63f-b3c1-49ed-a44b-00e5f935c6ac,0.7304868391047501,1,X,100
b7c12581-588e-4742-96f4-a5523189c059,0.7396667861218696,1,X,100
c5264ab7-04d0-4ef3-b538-41dc8a34a847,0.739922094962832,1,X,100
4c76e18b-8c0f-4140-9e95-ef398c362ada,0.7491257348090782,1,X,100
9a1a9622-d8d6-4fc8-9b9b-7b108219f643,0.7632940034391031,1,X,100
deb1d38d-1d40-4c7c-ad26-5e15f0d98519,0.7634955920336093,1,X,100
325b693a-d92e-4e46-8a8d-f43e3a2e9be2,0.770487676554653,1,X,100
2f42d73a-37f8-4561-aaac-2b556c10da86,0.7830494622701236,1,X,100
